Date,Price
02jan1984,29.6
03jan1984,29.4
04jan1984,29.5
05jan1984,29.3
06jan1984,29.18
09jan1984,29.47
10jan1984,29.45
11jan1984,29.46
12jan1984,29.51
13jan1984,29.58
16jan1984,29.72
17jan1984,29.57
18jan1984,29.79
19jan1984,29.79
20jan1984,29.79
23jan1984,29.52
24jan1984,29.7
25jan1984,29.78
26jan1984,29.95
27jan1984,30.14
30jan1984,29.89
31jan1984,29.98
01feb1984,30.3
02feb1984,30.19
03feb1984,30.11
06feb1984,30.16
07feb1984,30.04
08feb1984,30.04
09feb1984,29.83
10feb1984,29.83
13feb1984,29.63
14feb1984,29.74
15feb1984,29.83
16feb1984,29.91
17feb1984,29.91
20feb1984,29.91
21feb1984,29.79
22feb1984,29.79
23feb1984,29.92
24feb1984,30.1
27feb1984,30.79
28feb1984,30.45
29feb1984,30.55
01mar1984,30.73
02mar1984,30.7
05mar1984,30.78
06mar1984,30.73
07mar1984,30.75
08mar1984,30.8
09mar1984,30.99
12mar1984,30.91
13mar1984,30.86
14mar1984,30.91
15mar1984,30.85
16mar1984,30.64
19mar1984,30.49
20mar1984,30.52
21mar1984,30.42
22mar1984,30.55
23mar1984,30.61
26mar1984,30.59
27mar1984,30.72
28mar1984,30.65
29mar1984,30.86
30mar1984,30.85
02apr1984,30.8
03apr1984,30.85
04apr1984,30.81
05apr1984,30.78
06apr1984,30.75
09apr1984,30.72
10apr1984,30.78
11apr1984,30.8
12apr1984,30.7
13apr1984,30.68
16apr1984,30.69
17apr1984,30.66
18apr1984,30.66
19apr1984,30.66
20apr1984,30.66
23apr1984,30.57
24apr1984,30.63
25apr1984,30.55
26apr1984,30.48
27apr1984,30.43
30apr1984,30.26
01may1984,30.29
02may1984,30.17
03may1984,30.16
04may1984,30.25
07may1984,30.16
08may1984,30.22
09may1984,30.34
10may1984,30.34
11may1984,30.36
14may1984,30.59
15may1984,30.6
16may1984,30.98
17may1984,30.73
18may1984,30.75
21may1984,30.93
22may1984,30.67
23may1984,30.6
24may1984,30.75
25may1984,30.88
28may1984,30.88
29may1984,30.71
30may1984,30.81
31may1984,30.83
01jun1984,30.7
04jun1984,30.75
05jun1984,30.73
06jun1984,30.55
07jun1984,30.4
08jun1984,30.37
11jun1984,30.15
12jun1984,30.17
13jun1984,30.1
14jun1984,30.18
15jun1984,30.03
18jun1984,29.79
19jun1984,29.87
20jun1984,29.74
21jun1984,29.34
22jun1984,29.26
25jun1984,29.55
26jun1984,29.36
27jun1984,29.25
28jun1984,29.56
29jun1984,29.75
02jul1984,29.59
03jul1984,29.5
04jul1984,29.5
05jul1984,29.57
06jul1984,29.65
09jul1984,29.47
10jul1984,29.4
11jul1984,29.35
12jul1984,29.08
13jul1984,28.95
16jul1984,28.88
17jul1984,28.99
18jul1984,28.82
19jul1984,28.82
20jul1984,28.82
23jul1984,28.35
24jul1984,28.15
25jul1984,28
26jul1984,27.77
27jul1984,27.7
30jul1984,27.64
31jul1984,27.6
01aug1984,28.13
02aug1984,29.07
03aug1984,28.78
06aug1984,29.12
07aug1984,29.31
08aug1984,29.38
09aug1984,29.35
10aug1984,29.08
13aug1984,29.15
14aug1984,29.25
15aug1984,29.19
16aug1984,28.99
17aug1984,29.03
20aug1984,29.44
21aug1984,29.68
22aug1984,29.88
23aug1984,29.77
24aug1984,29.91
27aug1984,29.86
28aug1984,29.87
29aug1984,29.75
30aug1984,29.28
31aug1984,29.23
03sep1984,29.23
04sep1984,29.04
05sep1984,28.88
06sep1984,29.28
07sep1984,29.22
10sep1984,29.36
11sep1984,29.53
12sep1984,29.31
13sep1984,29.35
14sep1984,29.28
17sep1984,29.2
18sep1984,29.47
19sep1984,29.62
20sep1984,29.58
21sep1984,29.47
24sep1984,29.48
25sep1984,29.55
26sep1984,29.54
27sep1984,29.58
28sep1984,29.66
01oct1984,29.69
02oct1984,29.62
03oct1984,29.54
04oct1984,29.47
05oct1984,29.4
08oct1984,29.37
09oct1984,29.45
10oct1984,29.33
11oct1984,29.28
12oct1984,29.06
15oct1984,28.79
16oct1984,28.67
17oct1984,27.85
18oct1984,27.54
19oct1984,27.7
22oct1984,28.45
23oct1984,28.36
24oct1984,28.51
25oct1984,28.65
26oct1984,28.58
29oct1984,28.41
30oct1984,28.22
31oct1984,28.46
01nov1984,28.74
02nov1984,28.65
05nov1984,28.55
06nov1984,28.7
07nov1984,28.73
08nov1984,28.68
09nov1984,28.53
12nov1984,28.42
13nov1984,28.46
14nov1984,28.44
15nov1984,28.44
16nov1984,28.44
19nov1984,27.83
20nov1984,27.85
21nov1984,27.74
22nov1984,27.74
23nov1984,27.74
26nov1984,27.16
27nov1984,27.31
28nov1984,27.32
29nov1984,27.48
30nov1984,27.31
03dec1984,27.3
04dec1984,27.52
05dec1984,27.7
06dec1984,27.68
07dec1984,27.46
10dec1984,27.45
11dec1984,27.25
12dec1984,26.72
13dec1984,26.57
14dec1984,26.45
17dec1984,26.45
18dec1984,26.45
19dec1984,26.45
20dec1984,26.45
21dec1984,26.45
24dec1984,26.45
25dec1984,26.45
26dec1984,26.79
27dec1984,26.34
28dec1984,26.41
31dec1984,26.41
01jan1985,26.41
02jan1985,25.92
03jan1985,25.84
04jan1985,25.18
07jan1985,25.56
08jan1985,25.48
09jan1985,25.43
10jan1985,25.76
11jan1985,25.77
14jan1985,26.12
15jan1985,25.91
16jan1985,25.62
17jan1985,25.69
18jan1985,25.68
21jan1985,25.97
22jan1985,25.55
23jan1985,25.38
24jan1985,25.28
25jan1985,25.25
28jan1985,25.23
29jan1985,25.38
30jan1985,25.67
31jan1985,26.41
01feb1985,26.74
04feb1985,26.52
05feb1985,26.78
06feb1985,27.07
07feb1985,27.21
08feb1985,27.59
11feb1985,28.04
12feb1985,27.36
13feb1985,27.82
14feb1985,27.8
15feb1985,27.8
18feb1985,27.8
19feb1985,27.29
20feb1985,27.18
21feb1985,27.14
22feb1985,26.76
25feb1985,26.44
26feb1985,26.79
27feb1985,26.69
28feb1985,26.73
01mar1985,27.2
04mar1985,27.74
05mar1985,27.55
06mar1985,27.77
07mar1985,28.08
08mar1985,27.74
11mar1985,27.57
12mar1985,27.92
13mar1985,28.06
14mar1985,28.19
15mar1985,28.32
18mar1985,28.85
19mar1985,28.8
20mar1985,28.98
