Date,LargeCap,SmallCap
01jan1990,353.4,168.228
02jan1990,359.69,169.943
03jan1990,358.76,170.78
04jan1990,355.67,170.168
05jan1990,352.2,169.713
08jan1990,353.79,169.673
09jan1990,349.62,169.46
10jan1990,347.31,168.144
11jan1990,348.53,168.204
12jan1990,339.93,164.511
15jan1990,337,163.07
16jan1990,340.75,163.468
17jan1990,337.4,163.577
18jan1990,338.19,162.829
19jan1990,339.15,163.649
22jan1990,330.38,161.187
23jan1990,331.61,160.491
24jan1990,330.26,158.246
25jan1990,326.08,157.98
26jan1990,325.8,156.648
29jan1990,325.2,154.962
30jan1990,322.98,152.649
31jan1990,329.08,153.333
01feb1990,328.79,154.391
02feb1990,330.92,156.008
05feb1990,331.85,156.869
06feb1990,329.66,156.918
07feb1990,333.75,158.254
08feb1990,332.96,158.628
09feb1990,333.62,159.091
12feb1990,330.08,158.459
13feb1990,331.02,158.157
14feb1990,332.01,158.27
15feb1990,334.89,159.235
16feb1990,332.72,159.304
19feb1990,332.72,159.3
20feb1990,327.99,157.896
21feb1990,327.67,157.067
22feb1990,325.7,157.811
23feb1990,324.15,156.588
26feb1990,328.67,156.33
27feb1990,330.26,156.805
28feb1990,331.89,157.799
01mar1990,332.74,158.085
02mar1990,335.54,159.215
05mar1990,333.74,159.243
06mar1990,337.93,160.366
07mar1990,336.95,160.845
08mar1990,340.27,162.004
09mar1990,337.93,162.032
12mar1990,338.67,162.12
13mar1990,336,162.012
14mar1990,336.87,162.728
15mar1990,338.07,163.207
16mar1990,341.91,164.152
19mar1990,343.53,164.366
20mar1990,341.57,164.124
21mar1990,339.74,164.04
22mar1990,335.69,162.567
23mar1990,337.22,163.505
26mar1990,337.63,163.686
27mar1990,341.5,163.959
28mar1990,342,163.69
29mar1990,340.79,163.384
30mar1990,339.94,163.69
02apr1990,338.7,162.334
03apr1990,343.64,163.396
04apr1990,341.09,162.893
05apr1990,340.73,162.841
06apr1990,340.08,162.414
09apr1990,341.37,161.533
10apr1990,342.07,162.016
11apr1990,341.92,162.217
12apr1990,344.34,162.64
13apr1990,344.34,162.58
16apr1990,344.74,162.571
17apr1990,344.68,162.237
18apr1990,340.72,161.392
19apr1990,338.09,160.833
20apr1990,335.12,160.113
23apr1990,331.05,158.576
24apr1990,330.36,158.435
25apr1990,332.03,158.68
26apr1990,332.92,158.813
27apr1990,329.11,157.859
30apr1990,330.8,158.157
01may1990,332.25,158.491
02may1990,334.48,159.131
03may1990,335.57,159.807
04may1990,338.39,160.475
07may1990,340.53,160.857
08may1990,342.01,160.962
09may1990,342.86,161.078
10may1990,343.82,161.666
11may1990,352,163.187
14may1990,354.75,163.847
15may1990,354.28,163.694
16may1990,354,163.859
17may1990,354.47,164.921
18may1990,354.64,165.444
21may1990,358,166.768
22may1990,358.43,167.351
23may1990,359.29,167.899
24may1990,358.41,168.172
25may1990,354.58,167.371
28may1990,354.58,167.3
29may1990,360.65,168.289
30may1990,360.86,168.731
31may1990,361.23,169.061
01jun1990,363.16,169.935
04jun1990,367.4,170.86
05jun1990,366.64,170.397
06jun1990,364.96,170.176
07jun1990,363.15,170.035
08jun1990,358.71,169.162
11jun1990,361.63,169.295
12jun1990,366.25,170.269
13jun1990,364.9,171.126
14jun1990,362.9,170.816
15jun1990,362.91,171.093
18jun1990,356.88,168.913
19jun1990,358.47,168.599
20jun1990,359.1,168.401
21jun1990,360.47,168.562
22jun1990,355.43,168.144
25jun1990,352.31,167.158
26jun1990,352.06,166.985
27jun1990,355.14,167.307
28jun1990,357.63,168.458
29jun1990,358.02,169.166
02jul1990,359.54,169.029
03jul1990,360.16,168.945
04jul1990,360.16,168.95
05jul1990,355.68,167.943
06jul1990,358.42,168.152
09jul1990,359.52,168.072
10jul1990,356.49,167.665
11jul1990,361.23,168.591
12jul1990,365.44,169.403
13jul1990,367.31,169.983
16jul1990,368.95,169.931
17jul1990,367.52,168.752
18jul1990,364.22,167.705
19jul1990,365.32,166.876
20jul1990,361.61,166.603
23jul1990,355.31,162.833
24jul1990,355.79,163.122
25jul1990,357.09,163.569
26jul1990,355.91,163.987
27jul1990,353.44,163.078
30jul1990,355.55,161.883
31jul1990,356.15,161.505
01aug1990,355.52,160.789
02aug1990,351.48,158.656
03aug1990,344.86,154.423
06aug1990,334.43,149.2
07aug1990,334.83,149.353
08aug1990,338.35,151.224
09aug1990,339.94,152.612
10aug1990,335.52,150.951
13aug1990,338.84,150.492
14aug1990,339.39,151.216
15aug1990,340.06,151.301
16aug1990,332.39,148.464
17aug1990,327.83,145.675
20aug1990,328.51,144.179
21aug1990,321.86,140.895
22aug1990,316.55,139.089
23aug1990,307.06,133.089
24aug1990,311.51,134.361
27aug1990,321.44,138.835
28aug1990,321.34,139.616
29aug1990,324.19,140.07
30aug1990,318.71,139.302
31aug1990,322.56,139.6
03sep1990,322.56,139.51
